iter	Logloss
0	0.6454748273
1	0.6049411595
2	0.5701088411
3	0.542029686
4	0.5179762078
5	0.4969085598
6	0.4791254116
7	0.4628273458
8	0.4486155224
9	0.4367506544
10	0.4273586935
11	0.4182204915
12	0.410478712
13	0.4037417319
14	0.3984131525
15	0.3933826525
16	0.3881075923
17	0.38331121
18	0.3804853626
19	0.3765519699
20	0.3739936374
21	0.3718506913
22	0.3703841107
23	0.3679271213
24	0.3665592332
25	0.3647389293
26	0.3636738059
27	0.3615830722
28	0.3598235142
29	0.3585131519
30	0.3571362995
31	0.3560011766
32	0.355221824
33	0.3544806384
34	0.3537052855
35	0.3532939083
36	0.3519522356
37	0.3513967323
38	0.3511302373
39	0.3506692292
40	0.3502304589
41	0.3499276159
42	0.3497498291
43	0.3489079106
44	0.3486354063
45	0.3478882418
46	0.3473498498
47	0.346891505
48	0.3464779167
49	0.3463565772
50	0.3457643071
51	0.3455636303
52	0.345175465
53	0.3449930378
54	0.3448696677
55	0.3447936388
56	0.3444023633
57	0.3439358934
58	0.3436831041
59	0.3436039612
60	0.3433112195
61	0.3430277713
62	0.3427921587
63	0.3426918278
64	0.3426423967
65	0.3423951974
66	0.3421565351
67	0.3421401265
68	0.3420538005
69	0.3419641103
70	0.3417780201
71	0.3417266041
72	0.3416609194
73	0.34156018
74	0.3415083745
75	0.3413539709
76	0.3412691801
77	0.3410519063
78	0.3408720256
79	0.3408545554
80	0.3407100095
81	0.3406405519
82	0.3406215036
83	0.3405276341
84	0.3403525868
85	0.3403274705
86	0.3402111509
87	0.3401702156
88	0.3400374718
89	0.3400268499
90	0.3400185135
91	0.3398943632
92	0.339800916
93	0.339767349
94	0.3397179764
95	0.3396731464
96	0.3395753349
97	0.3395675996
98	0.3395425339
99	0.3395410295
100	0.3395169338
101	0.3394635516
102	0.3392836611
103	0.3392594035
104	0.3391841831
105	0.3391829292
106	0.3391781687
107	0.3391019878
108	0.3391015236
109	0.3390550389
110	0.3390350141
111	0.3389833604
112	0.3389328859
113	0.3388744952
114	0.3388670192
115	0.3388478629
116	0.3388208344
117	0.3387868929
118	0.3387859993
119	0.3387664115
120	0.3387235538
121	0.3386923674
122	0.3386238012
123	0.3385600256
124	0.3385250879
125	0.3384974785
126	0.338467471
127	0.3384487322
128	0.3384368332
129	0.3384073074
130	0.3383658354
131	0.3383544632
132	0.3383322366
133	0.3383138185
134	0.3383009583
135	0.3382527155
136	0.3382353281
137	0.3382212782
138	0.3381801733
139	0.3381368015
140	0.3381109095
141	0.3380690745
142	0.3380342029
143	0.3379470156
144	0.3379132556
145	0.33789575
146	0.3378689319
147	0.3378318857
148	0.3377842336
149	0.3377712382
150	0.3377497538
151	0.3377060775
152	0.3376773716
153	0.3376632986
154	0.337617803
155	0.3376048914
156	0.3375814161
157	0.3375814153
158	0.3375442579
159	0.3375122918
160	0.3375105609
161	0.3374658544
162	0.3374423822
163	0.3374361459
164	0.3374350865
165	0.3374344483
166	0.3373951773
167	0.3373762388
168	0.3373748913
169	0.3373307671
170	0.3373122506
171	0.3372421294
172	0.3372326396
173	0.3371802154
174	0.3371672559
175	0.3370486804
176	0.3370437849
177	0.3370035352
178	0.3369767451
179	0.3369722178
180	0.3369523771
181	0.3369042137
182	0.3368838234
183	0.336851163
184	0.3368256875
185	0.3368046636
186	0.336727751
187	0.3366540615
188	0.3366230679
189	0.3366202424
190	0.3365982371
191	0.3365491804
192	0.3365368875
193	0.336522216
194	0.3364795888
195	0.3364391485
196	0.3364330011
197	0.3364321167
198	0.3364237462
199	0.3363508169
200	0.3362852033
201	0.3362607945
202	0.3362257085
203	0.3361848779
204	0.336174195
205	0.3361538792
206	0.3361488915
207	0.336130877
208	0.3360795975
209	0.3360599599
210	0.3360444024
211	0.3360375546
212	0.3360294049
213	0.3360231997
214	0.335984439
215	0.3359779089
216	0.3359751526
217	0.3359627973
218	0.3359355409
219	0.335917426
220	0.335891214
221	0.335848915
222	0.3358408106
223	0.3358050073
224	0.335769081
225	0.3357482178
226	0.3357154798
227	0.3357120943
228	0.3356537871
229	0.3355487864
230	0.3355370882
231	0.3354621191
232	0.3354283339
233	0.3353772437
234	0.3353362376
235	0.3352485543
236	0.3352217464
237	0.3351978632
238	0.3351609361
239	0.3351344839
240	0.3351050307
241	0.3351025337
242	0.3350779648
243	0.33506769
244	0.3350567048
245	0.3350322649
246	0.3349974737
247	0.3349817338
248	0.3349510169
249	0.3349069164
250	0.3348759437
251	0.3348377314
252	0.3348190828
253	0.3347980932
254	0.3347650143
255	0.3347177926
256	0.3346774772
257	0.3346526162
258	0.3346493325
259	0.3346075407
260	0.3345771692
261	0.334533737
262	0.3345168444
263	0.3345012422
264	0.3344720816
265	0.334448566
266	0.3344100367
267	0.3343861963
268	0.3343499726
269	0.334333598
270	0.3343050045
271	0.3342958943
272	0.3342631405
273	0.3342568186
274	0.3342268052
275	0.3342161552
276	0.3341472332
277	0.334110888
278	0.3340791638
279	0.334060445
280	0.3340239697
281	0.3339880427
282	0.3339618146
283	0.3339435876
284	0.3338820079
285	0.3338455472
286	0.333823429
287	0.333807421
288	0.33376184
289	0.3337405782
290	0.3337142767
291	0.333701694
292	0.3336473391
293	0.3336257116
294	0.3336025261
295	0.3335638149
296	0.3335502178
297	0.3335494243
298	0.3335298173
299	0.3334588868
300	0.3334537168
301	0.3333956874
302	0.333364046
303	0.333330896
304	0.3332980188
305	0.3332294327
306	0.3332044815
307	0.3331746881
308	0.3331358051
309	0.3331018893
310	0.3330726913
311	0.3330438058
312	0.3330407964
313	0.3330219579
314	0.3330078257
315	0.3329534676
316	0.3329352414
317	0.3328974562
318	0.3328585063
319	0.3327920235
320	0.3327696926
321	0.3327584316
322	0.3327335734
323	0.3327252229
324	0.33270995
325	0.3326740012
326	0.3326676502
327	0.3326412231
328	0.332590045
329	0.3325745063
330	0.3325463181
331	0.3325109702
332	0.3324675165
333	0.3324308129
334	0.3324103493
335	0.3323794484
336	0.3323676362
337	0.3323414376
338	0.3323099438
339	0.3322994443
340	0.3322782133
341	0.3322464842
342	0.3322078697
343	0.3321921118
344	0.332168527
345	0.3321440378
346	0.3321058404
347	0.332061615
348	0.3320433266
349	0.3320375906
350	0.332024744
351	0.3320051584
352	0.3319826353
353	0.3319706142
354	0.3319377337
355	0.3319100764
356	0.3319067677
357	0.3318762401
358	0.3318685812
359	0.3318230577
360	0.3318038664
361	0.331765715
362	0.3317526058
363	0.331713538
364	0.3316960286
365	0.3316583887
366	0.3316384887
367	0.3316136984
368	0.3315666111
369	0.3315560171
370	0.3315344705
371	0.3315068453
372	0.3314724041
373	0.331448327
374	0.3314255578
375	0.3314057738
376	0.3313702175
377	0.3313481541
378	0.3313167565
379	0.3312987973
380	0.3312760426
381	0.331234646
382	0.3311772568
383	0.3311427871
384	0.3311136657
385	0.3310957673
386	0.3310329455
387	0.3310058257
388	0.3309949061
389	0.3309702427
390	0.3309492975
391	0.3309317445
392	0.3309099729
393	0.3308842683
394	0.3308676249
395	0.3308179448
