iter	Passed	Remaining
0	260	259847
1	319	159404
2	411	136656
3	426	106245
4	444	88444
5	488	81008
6	517	73398
7	600	74477
8	671	73979
9	711	70482
10	727	65390
11	788	64940
12	889	67538
13	939	66158
14	1007	66140
15	1082	66589
16	1156	66845
17	1243	67820
18	1312	67750
19	1422	69697
20	1523	71021
21	1613	71725
22	1649	70068
23	1741	70836
24	1765	68843
25	1857	69575
26	2012	72520
27	2101	72935
28	2161	72379
29	2284	73862
30	2398	74975
31	2511	75968
32	2623	76890
33	2698	76654
34	2748	75778
35	2782	74506
36	2856	74355
37	2958	74894
38	2988	73651
39	3064	73540
40	3115	72866
41	3211	73248
42	3287	73172
43	3376	73370
44	3457	73379
45	3525	73112
46	3602	73045
47	3718	73753
48	3828	74303
49	3957	75191
50	4090	76124
51	4146	75601
52	4317	77140
53	4376	76676
54	4443	76342
55	4596	77487
56	4758	78719
57	4895	79506
58	5009	79892
59	5172	81037
60	5283	81329
61	5361	81120
62	5455	81139
63	5575	81546
64	5652	81303
65	5739	81220
66	5834	81248
67	5873	80495
68	6025	81294
69	6196	82328
70	6280	82171
71	6418	82728
72	6593	83722
73	6687	83680
74	6870	84740
75	6933	84299
76	7012	84062
77	7149	84506
78	7232	84312
79	7381	84888
80	7450	84526
81	7540	84412
82	7643	84451
83	7802	85089
84	7914	85193
85	8009	85120
86	8112	85136
87	8232	85315
88	8322	85188
89	8386	84799
90	8425	84166
91	8570	84583
92	8667	84531
93	8823	85043
94	8966	85415
95	9129	85973
96	9313	86698
97	9390	86435
98	9549	86907
99	9647	86826
100	9792	87160
101	9870	86898
102	10003	87114
103	10117	87168
104	10278	87610
105	10368	87448
106	10399	86791
107	10492	86657
108	10541	86170
109	10619	85919
110	10712	85792
111	10789	85544
112	10936	85843
113	11055	85921
114	11170	85966
115	11280	85965
116	11387	85942
117	11504	85987
118	11558	85572
119	11660	85507
120	11815	85831
121	11961	86082
122	12093	86228
123	12195	86155
124	12411	86883
125	12509	86769
126	12617	86730
127	12811	87275
128	12910	87173
129	13040	87271
130	13132	87113
131	13283	87348
132	13408	87408
133	13481	87123
134	13639	87391
135	13780	87543
136	13948	87864
137	14050	87766
138	14206	88000
139	14300	87846
140	14368	87536
141	14515	87706
142	14636	87716
143	14766	87781
144	14913	87939
145	15027	87899
146	15233	88396
147	15354	88393
148	15508	88574
149	15566	88209
150	15727	88427
151	15822	88274
152	15889	87961
153	16040	88118
154	16188	88255
155	16332	88365
156	16467	88421
157	16492	87888
158	16614	87880
159	16698	87669
160	16864	87886
161	17010	87991
162	17102	87818
163	17268	88026
164	17387	87992
165	17453	87688
166	17576	87669
167	17735	87831
168	17780	87428
169	17849	87145
170	17925	86902
171	17986	86583
172	18094	86498
173	18179	86301
174	18375	86626
175	18501	86621
176	18620	86580
177	18730	86497
178	18852	86466
179	19007	86590
180	19101	86433
181	19226	86415
182	19430	86749
183	19567	86779
184	19690	86746
185	19795	86630
186	19924	86624
187	20019	86466
188	20182	86601
189	20334	86690
190	20514	86890
191	20619	86775
192	20729	86676
193	20953	87053
194	21071	86986
195	21157	86790
196	21330	86948
197	21470	86967
198	21617	87013
199	21772	87089
200	21969	87331
201	22135	87446
202	22254	87374
203	22349	87206
204	22453	87074
205	22642	87270
206	22784	87285
207	22916	87257
208	23003	87060
209	23134	87029
210	23309	87163
211	23435	87111
212	23547	87005
213	23640	86827
214	23738	86672
215	23946	86915
216	24096	86948
217	24240	86955
218	24380	86946
219	24542	87013
220	24659	86922
221	24790	86876
222	24871	86660
223	24994	86589
224	25133	86571
225	25220	86374
226	25382	86434
227	25491	86314
228	25624	86272
229	25725	86125
230	25842	86028
231	25946	85892
232	26083	85861
233	26198	85760
234	26317	85671
235	26419	85528
236	26517	85371
237	26649	85323
238	26772	85246
239	26848	85020
240	26947	84867
241	27038	84690
242	27139	84544
243	27234	84383
244	27336	84241
245	27471	84202
246	27582	84088
247	27698	83989
248	27807	83869
249	27922	83767
250	28053	83712
251	28167	83609
252	28280	83499
253	28384	83364
254	28525	83340
255	28685	83367
256	28810	83293
257	28949	83259
258	29062	83148
259	29181	83055
260	29284	82916
261	29425	82884
262	29537	82772
263	29657	82682
264	29777	82590
265	29972	82706
266	30068	82548
267	30191	82464
268	30319	82391
269	30430	82274
270	30554	82192
271	30643	82015
272	30837	82120
273	30942	81985
274	31093	81974
275	31175	81778
276	31321	81752
277	31458	81701
278	31566	81574
279	31760	81670
280	31913	81656
281	32052	81609
282	32201	81585
283	32319	81480
284	32464	81446
285	32647	81503
286	32839	81584
287	32984	81545
288	33082	81389
289	33212	81312
290	33388	81348
291	33569	81395
292	33705	81331
293	33851	81290
294	33975	81195
295	34088	81074
296	34268	81114
297	34390	81014
298	34509	80906
299	34625	80791
300	34747	80692
301	34847	80541
302	35002	80518
303	35079	80314
304	35186	80178
305	35338	80146
306	35498	80132
307	35689	80184
308	35823	80110
309	35963	80046
310	36147	80082
311	36299	80045
312	36414	79925
313	36542	79835
314	36608	79609
315	36670	79374
316	36780	79247
317	36994	79340
318	37147	79302
319	37287	79236
320	37385	79080
321	37536	79035
322	37640	78893
323	37724	78709
324	37834	78579
325	37952	78466
326	38068	78349
327	38220	78305
328	38309	78133
329	38450	78065
330	38613	78044
331	38722	77911
332	38823	77764
333	38961	77690
334	39069	77556
335	39182	77431
336	39289	77295
337	39396	77160
338	39471	76964
339	39558	76790
340	39688	76699
341	39797	76569
342	39929	76482
343	40059	76392
344	40140	76208
345	40233	76048
346	40368	75966
347	40514	75905
348	40629	75788
349	40712	75609
350	40875	75578
351	40987	75454
352	41080	75294
353	41292	75353
354	41388	75199
355	41532	75132
356	41664	75042
357	41747	74866
358	41874	74767
359	42005	74675
360	42100	74521
361	42194	74364
362	42305	74238
363	42426	74130
364	42572	74065
365	42695	73958
366	42832	73877
367	42982	73817
368	43117	73732
369	43248	73638
370	43352	73500
371	43486	73412
372	43582	73259
373	43672	73099
374	43771	72952
375	43864	72796
376	43989	72693
377	44101	72568
378	44231	72473
379	44349	72360
380	44453	72221
381	44530	72041
382	44651	71931
383	44739	71769
384	44820	71596
385	44972	71536
386	45091	71423
387	45161	71233
388	45286	71131
389	45413	71030
390	45589	71007
391	45759	70973
392	45894	70884
393	46007	70763
394	46080	70578
395	46227	70508
396	46307	70335
397	46383	70158
398	46529	70085
399	46672	70008
400	46755	69841
401	46913	69786
402	47044	69691
403	47139	69542
404	47235	69395
405	47331	69248
406	47439	69119
407	47559	69008
408	47705	68933
409	47860	68871
410	48004	68794
411	48103	68652
412	48236	68559
413	48328	68406
414	48464	68317
415	48588	68210
416	48720	68115
417	48886	68066
418	48971	67905
419	49149	67873
420	49263	67751
421	49405	67669
422	49525	67555
423	49636	67430
424	49722	67271
425	49865	67189
426	50019	67122
427	50116	66978
428	50200	66817
429	50315	66697
430	50452	66606
431	50618	66554
432	50725	66423
433	50927	66416
434	51089	66358
435	51220	66257
436	51428	66256
437	51523	66110
438	51708	66078
439	51796	65922
440	51916	65807
441	52056	65718
442	52146	65565
443	52240	65417
444	52366	65311
445	52463	65167
446	52627	65106
447	52707	64943
448	52861	64870
449	52962	64732
450	53057	64586
451	53238	64546
452	53441	64531
453	53564	64418
454	53650	64262
455	53747	64119
456	53884	64024
457	54020	63927
458	54124	63794
459	54259	63696
460	54433	63643
461	54600	63582
462	54780	63535
463	54897	63416
464	55014	63296
465	55124	63168
466	55215	63019
467	55307	62871
468	55462	62794
469	55539	62630
470	55621	62470
471	55740	62353
472	55887	62268
473	56020	62165
474	56087	61991
475	56182	61848
476	56274	61701
477	56352	61539
478	56440	61388
479	56571	61285
480	56729	61211
481	56880	61128
482	56985	60996
483	57065	60838
484	57167	60704
485	57379	60685
486	57505	60575
487	57607	60441
488	57722	60319
489	57832	60192
490	57912	60035
491	58046	59934
492	58167	59819
493	58258	59673
494	58377	59557
495	58445	59387
496	58600	59307
497	58761	59233
498	58923	59159
499	59037	59037
500	59185	58948
501	59313	58841
502	59417	58709
503	59538	58593
504	59644	58463
505	59722	58306
506	59865	58212
507	60058	58166
508	60138	58011
509	60223	57862
510	60375	57776
511	60461	57626
512	60613	57541
513	60712	57405
514	60869	57323
515	60946	57167
516	61051	57036
517	61178	56927
518	61305	56816
519	61438	56712
520	61591	56626
521	61664	56466
522	61783	56349
523	61884	56215
524	62033	56125
525	62131	55989
526	62201	55827
527	62340	55728
528	62425	55580
529	62566	55483
530	62644	55329
531	62766	55215
532	62875	55089
533	63061	55031
534	63201	54931
535	63363	54851
536	63493	54744
537	63623	54635
538	63734	54510
539	63858	54398
540	63977	54280
541	64132	54192
542	64273	54093
543	64384	53969
544	64480	53832
545	64565	53686
546	64680	53565
547	64782	53433
548	64907	53320
549	65010	53190
550	65128	53071
551	65226	52937
552	65424	52884
553	65514	52742
